date,m/e,quote,author,from,bg,ID,tag1,tag2,tag3,tag4,tag5,tag6
20160516,m,Mom taught me how to shave.\n\n是媽媽教我怎麼刮鬍子的。,英國六字微小說,http://www.sixwordstories.net/,0,,,,,,,
,m,[Tip]\n邀請您隨時到\n『最新消息/意見回饋』，\n給予最寶貴的指教。\n我們會仔細聆聽、盡力改進。,,閱讀句樂簿,16,,,,,,,
,m,媽，\n\n你說國中生不能談戀愛，\n\n為什麼爸是妳小學同學？,彭以欣,Myfone行動創作獎,14,,,,,,,
,m,我現在的這一分鐘，是經過了過去無數億萬分鐘才出現的，\n\n\n世上再沒有比這一分鐘和現在更好的了。,惠特曼 Walt Whitman\n美國詩人、散文家、新聞工作者及人文主義者,1819-1892,5,,,,,,,
,m,拋棄時間的人，\n\n\n時間也會拋棄他。,莎士比亞\nWilliam Shakespeare\n英國文豪,1564-1616,1,,,,,,,
,m,掉進河流裡不見得會淹死，\n\n不爬出來，才會淹死。,,,13,,,,,,,
,e,[Tip]\n在桌面長按《閱讀句樂簿》小工具\n\n可以調整版面大小！,,閱讀句樂簿,16,,,,,,,
,e,叛逆期又怎樣？\n\n\n老娘現在更年期！,潘信宏,Myfone行動創作獎,7,,,,,,,
,e,擁有信心，\n才會有智慧產生。\n\n\n沒有信心，\n所有的事情都覺得困難。,,,9,,,,,,,
,e,時間是個常數，但對勤奮者來說，是個變數。\n\n\n用“分”來計算時間的人，比用“時”來計算時間的人，時間多\n了五十九倍。,雷巴柯夫\n蘇聯現代作家,1911-1998,10,,,,,,,
,e,時間是最公平合理的，\n\n它從不多給誰一份。\n\n勤勞者能叫時間留給串串的果實，\n\n懶惰者時間留予他們一頭白髮，兩手空空。,高爾基\nАлексей Максимович Пешков\n俄國作家,1868-1936,15,,,,,,,
,e,我們想要控制的東西\n\n\n卻控制了我們的生命,,,6,,,,,,,
20160517,m,「命」是失敗者的藉口；\n\n\n「運」是成功者的謙詞。,,,12,,,,,,,
,m,藝術家既不是啟蒙者，也不是擁有什麼特殊技藝或知識之人，只是以感性方式問『為什麼』的人。,政大駐校藝術家陳界仁\n郭力昕/採訪編輯\n《一個啟迪思想與行動的學習經驗》,https://www.twreporter.org/a/opinion-chen-chieh-jen,11,,,,,,,
,m,"我會對她說：放慢腳步，你活得夠長的話，生命自會讓你懂得怎樣好好活下去。\n\nI would have said to her, slow down. Life teaches you how to live it if you live long enough.", Tony Bennett,Amy Winehouse 紀錄片,13,,,,,,,
,m,通常人們讓你提出批評指正時，其實等待的是表揚。,,,2,,,,,,,
,m,生命空缺\n閱讀補足,,閱讀句樂簿,16,,,,,,,
,m,成長比成功重要。,江益源,臺東音樂家,1,,,,,,,
,e,把別人拉下來時，\n\n\n你一定也在下面。,,,6,,,,,,,
,e,不要害怕別人怎麼看你，\n\n\n\n因為沒有人在看你。,,,14,,,,,,,
,e,送牛奶的人\n\n\n\n比喝牛奶的人身體更棒。,,,3,,,,,,,
,e,每當你發現自己和大多數人站在同一邊時，你就該停下來反思一下。,馬克吐溫,,4,,,,,,,
,e,「表演有沒有給你帶來成就感的問題？」\n\n吳秀波：「一條河流過去，你把有成就感的那滴水給我找出来。」,吳秀波\n中國演員,,13,,,,,,,
,e,[Tip]\n句子播放有三種速度，\n每句10秒、15秒、20秒，\n歡迎到『設定』頁面，\n選擇您喜愛的速度！\n,,閱讀句樂簿,16,,,,,,,
20160518,m,[Tip]\n在桌面長按《閱讀句樂簿》小工具\n\n可以調整版面大小！,,閱讀句樂簿,16,,,,,,,
,m,有油水的地方，\n\n\n通常是最滑的地方。,,,8,,,,,,,
,m,"醫藥，法律，商業，工程，這些都是宏大的追求，也是維持生命的必需條件。但是詩，美，浪漫，愛，這些才是我們活著的原因。\n\n\nAnd medicine, law, business, engineering, these are noble pursuits and necessary to sustain life. But poetry, beauty，romance, love, these are what we stay alive for.",基頓老師,春風化雨,17,,,,,,,
,m,大學變職業訓練所，\n\n誰來重視文明？,李家同,http://udn.com/news/story/7339/1681639,19,,,,,,,
,m,吵架需要兩個人，\n\n\n停止吵架只需一個人。,,,18,,,,,,,
,m,巨人太高，\n\n侏儒太矮。\n\n\n\n平均值是一種在真實世界毫無意義的謊言。,蕭亦辰,https://www.facebook.com/photo.php?fbid=924533410977535&set=a.383497785081103.1073741825.100002626557877&type=3&theater,12,,,,,,,
,e,在『閱讀句樂簿』，您可以\n透過主編，\n輕鬆閱讀每日新句；\n透過平日，\n輕鬆累積自己的有感收藏；\n透過機緣，\n在對的時間分享一些句子給朋友。,,閱讀句樂簿,16,,,,,,,
,e,騰不出時間來休假，\n\n\n遲早會騰出時間來生病。,,,0,,,,,,,
,e,遠處廣播，\n\n從來就不應該叫喚我的名字，\n\n因為，\n\n或許有另一個同樣名字的人，\n\n他也聽見了。,鄭捷,http://www.appledaily.com.tw/realtimenews/article/new/20150525/616103/?utm_source=FB&utm_medium=MWeb_Share&utm_campaign=http%3A%2F%2Fwww.appledaily.com.tw%2Frealtimenews%2Farticle%2Fnew%2F20150525%2F616103%2F,10,,,,,,,
,e,道德是永存的，\n\n而財富每天在更換主人。,普盧塔克\nΠλούταρχος\nPlutarchus\n希臘作家,46-125年,4,,,,,,,
,e,得意時，朋友認識了你；\n\n\n落難時，你認識了朋友。,,,5,,,,,,,
,e,過去的沒辦法改變，\n\n但未來還在你的掌握之中。\n\n\nThe past can not be changed. The future is yet in your power.,休‧懷特 Hugh White\n前美國參議員,,6,,,,,,,
20160519,m,愛\n\n才不是什麼一頭栽進去的\n\n「熱情」\n\n而是緩慢地、苦痛地學會的\n\n「生存技能」,艾倫狄波頓\nAlain de Botton\n英國作家,愛的進化論,15,,,,,,,
,m,專家能夠看到現象的結構，不被無關細節干擾。外行裝內行的人停在表面的瑣碎細節，\n並將其放大。\n\n很多人以為前者太理論，\n\n後者較實務。\n\n其實前者才是實務菁華，\n\n後者歪理居多。,蔡志浩\n臺灣認知心理學家,https://www.facebook.com/chtsai/posts/10208341643231705,19,,,,,,,
,m,何謂憤世嫉俗的人？\n\n就是那些知道所有事物的價格，\n\n卻不知其價值的人。\n\nWhat is a cynic? A man who knows the price of everything and the value of nothing.\n,Oscar Wilde\n王爾德\n愛爾蘭作家,1854-1900,12,,,,,,,
,m,最重要的不是知識的數量，\n\n而是知識的質量，\n\n有些人知道很多很多，\n\n但卻不知道最有用的東西。,托爾斯泰\nЛев Николаевич Толстой\n俄國作家,1828-1910,10,,,,,,,
,m,"若你有幸做對了而爬到高處，\n\n就有責任把電梯回送給還在下面的人！\n\n\nIf you're lucky enough to do well, it's your responsibility to send the elevator back down.",凱文．史貝西KevinSpacey美國演員及導演,,8,,,,,,,
,m,閱讀句樂簿\n\n\n遇見更美好的自己,,閱讀句樂簿,16,,,,,,,
,e,一個人從旅行中得到多少，\n\n不在於他去了多少美麗的地方，\n\n而在於他發現了多少美麗的故事。,艾倫狄波頓\nAlain de Botton\n英國作家,旅行的藝術,3,,,,,,,
,e,還沒跑完就先發證書的馬拉松，\n\n\n叫婚姻。,陳思宏,Myfone行動創作獎,2,,,,,,,
,e,世界上最寬闊的東西是海洋，\n\n比海洋更寬闊的是天空，\n\n比天空更寬闊的是人的心靈。\n,雨果 Hugo\n法國浪漫主義作家,1802-1885,13,,,,,,,
,e,沒有知識的人\n\n總愛議論別人的無知\n\n\n知識豐富的人\n卻時時發現自己的無知,笛卡爾\nRené Descartes\n法國哲學家、數學家、物理學家,1596-1650,0,,,,,,,
,e,熱血只是一個引信，\n\n點燃之後，\n\n見真章的叫做『專業』。,,https://www.facebook.com/events/1109714499087321/,7,,,,,,,
